keyboard,path,targets,touch_target,layoutfile,touch_file,platforms,layers,nondefault_longpress,longpress_beyond_template,flick,multitap,verdict
sil_cameroon_qwerty,release/sil/sil_cameroon_qwerty/source/sil_cameroon_qwerty.kmn,any,yes,yes,yes,tablet,default|shift|symbol|rightalt|rightalt-shift|caps|rightalt-caps|symbol-caps,71,71,0,8,DEVELOPED
sil_cham_phonetic,release/sil/sil_cham_phonetic/source/sil_cham_phonetic.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_cherokee_nation,release/sil/sil_cherokee_nation/source/sil_cherokee_nation.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_cheyenne,release/sil/sil_cheyenne/source/sil_cheyenne.kmn,any,yes,yes,yes,phone,default|shift|numeric,39,19,0,0,DEVELOPED
sil_cipher_music,release/sil/sil_cipher_music/source/sil_cipher_music.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_colombia_venezuela,release/sil/sil_colombia_venezuela/source/sil_colombia_venezuela.kmn,any,yes,yes,yes,phone,default|shift|numeric|symbol|numpad|emoji,104,76,0,0,DEVELOPED
sil_devanagari_phonetic,release/sil/sil_devanagari_phonetic/source/sil_devanagari_phonetic.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,10,10,0,0,DEVELOPED
sil_devanagari_romanized,release/sil/sil_devanagari_romanized/source/sil_devanagari_romanized.kmn,any,yes,yes,yes,phone,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_devanagari_typewriter,release/sil/sil_devanagari_typewriter/source/sil_devanagari_typewriter.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_dzongkha,release/sil/sil_dzongkha/source/sil_dzongkha.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_eastern_congo,release/sil/sil_eastern_congo/source/sil_eastern_congo.kmn,any,yes,yes,yes,tablet,default|shift|numeric,68,60,0,0,DEVELOPED
sil_el_ethiopian_latin,release/sil/sil_el_ethiopian_latin/source/sil_el_ethiopian_latin.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_ethiopic,release/sil/sil_ethiopic/source/sil_ethiopic.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_ethiopic_power_g,release/sil/sil_ethiopic_power_g/source/sil_ethiopic_power_g.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_euro_latin,release/sil/sil_euro_latin/source/sil_euro_latin.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbol|currency|caps,690,599,95,6,DEVELOPED
sil_extended_urdu_np,release/sil/sil_extended_urdu_np/source/sil_extended_urdu_np.kmn,any,yes,yes,yes,tablet,default|shift,4,4,0,0,DEVELOPED
sil_gawri,release/sil/sil_gawri/source/sil_gawri.kmn,any,yes,yes,yes,phone,default|shift|numeric,28,28,0,0,DEVELOPED
sil_greek_polytonic,release/sil/sil_greek_polytonic/source/sil_greek_polytonic.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,454,454,8,0,DEVELOPED
sil_hawaiian,release/sil/sil_hawaiian/source/sil_hawaiian.kmn,any,yes,yes,yes,tablet,default|shift,10,10,0,0,DEVELOPED
sil_hebr_grek_trans,release/sil/sil_hebr_grek_trans/source/sil_hebr_grek_trans.kmn,any,yes,yes,yes,tablet,default|shift,1,1,0,0,DEVELOPED
sil_hebrew,release/sil/sil_hebrew/source/sil_hebrew.kmn,any,yes,yes,yes,tablet,default|shift|rightalt|rightalt-shift,9,9,0,0,DEVELOPED
sil_hebrew_legacy,release/sil/sil_hebrew_legacy/source/sil_hebrew_legacy.kmn,any,yes,yes,yes,tablet,default|shift|rightalt|rightalt-shift,9,9,0,0,DEVELOPED
sil_hmd_plrd,release/sil/sil_hmd_plrd/source/sil_hmd_plrd.kmn,any,yes,yes,yes,tablet,default|shift,29,29,0,0,DEVELOPED
sil_hupdah,release/sil/sil_hupdah/source/sil_hupdah.kmn,any,yes,yes,yes,phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sil_indic_roman,release/sil/sil_indic_roman/source/sil_indic_roman.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_ipa,release/sil/sil_ipa/source/sil_ipa.kmn,any,yes,yes,yes,tablet,default|shift|numeric|diacritic|supersub,313,309,62,0,DEVELOPED
sil_jarai,release/sil/sil_jarai/source/sil_jarai.kmn,any,yes,yes,yes,tablet,default|shift|alt|caps,0,0,0,0,DEFAULT_SCAFFOLD
sil_kayah_kali,release/sil/sil_kayah_kali/source/sil_kayah_kali.kmn,any,yes,yes,yes,tablet,default|shift,14,14,0,0,DEVELOPED
sil_kayah_latn,release/sil/sil_kayah_latn/source/sil_kayah_latn.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_kayah_mymr,release/sil/sil_kayah_mymr/source/sil_kayah_mymr.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_kcho,release/sil/sil_kcho/source/sil_kcho.kmn,any,yes,yes,yes,phone,default|shift|numeric|rightalt,70,37,0,0,DEVELOPED
sil_khamti,release/sil/sil_khamti/source/sil_khamti.kmn,any,yes,yes,yes,phone,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_khmer,release/sil/sil_khmer/source/sil_khmer.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt|shift-ctrl-alt,0,0,0,0,DEFAULT_SCAFFOLD
sil_khowar,release/sil/sil_khowar/source/sil_khowar.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_kmhmu,release/sil/sil_kmhmu/source/sil_kmhmu.kmn,any,yes,yes,yes,tablet,default|symbol,11,11,0,0,DEVELOPED
sil_korda_jamo,release/sil/sil_korda_jamo/source/sil_korda_jamo.kmn,windows,no,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_korda_latin,release/sil/sil_korda_latin/source/sil_korda_latin.kmn,windows,no,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_korean_morse,release/sil/sil_korean_morse/source/sil_korean_morse.kmn,windows,no,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_kvl_kayaw,release/sil/sil_kvl_kayaw/source/sil_kvl_kayaw.kmn,any,yes,yes,yes,tablet,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sil_lepcha,release/sil/sil_lepcha/source/sil_lepcha.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_limbu_phonetic,release/sil/sil_limbu_phonetic/source/sil_limbu_phonetic.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_limbu_typewriter,release/sil/sil_limbu_typewriter/source/sil_limbu_typewriter.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_lisu_basic,release/sil/sil_lisu_basic/source/sil_lisu_basic.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_lisu_standard,release/sil/sil_lisu_standard/source/sil_lisu_standard.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_lpo_plrd,release/sil/sil_lpo_plrd/source/sil_lpo_plrd.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_madi,release/sil/sil_madi/source/sil_madi.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,68,68,0,0,DEVELOPED
sil_makuri,release/sil/sil_makuri/source/sil_makuri.kmn,any,yes,yes,yes,tablet,default|shift|Num1|Num2,52,52,0,0,DEVELOPED
sil_mali_azerty,release/sil/sil_mali_azerty/source/sil_mali_azerty.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_mali_qwerty,release/sil/sil_mali_qwerty/source/sil_mali_qwerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|symbol,183,136,0,0,DEVELOPED
sil_mali_qwertz,release/sil/sil_mali_qwertz/source/sil_mali_qwertz.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_mende_kikakui,release/sil/sil_mende_kikakui/source/sil_mende_kikakui.kmn,any,yes,yes,yes,phone,default|numeric,176,176,0,0,DEVELOPED
sil_mon,release/sil/sil_mon/source/sil_mon.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_moore,release/sil/sil_moore/source/sil_moore.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_myanmar_my3,release/sil/sil_myanmar_my3/source/sil_myanmar_my3.kmn,any,yes,yes,yes,phone,default|shift|numeric,6,6,0,0,DEVELOPED
sil_myanmar_mywinext,release/sil/sil_myanmar_mywinext/source/sil_myanmar_mywinext.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_nigeria_dot,release/sil/sil_nigeria_dot/source/sil_nigeria_dot.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_nigeria_odd_vowels,release/sil/sil_nigeria_odd_vowels/source/sil_nigeria_odd_vowels.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_nigeria_underline,release/sil/sil_nigeria_underline/source/sil_nigeria_underline.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_nko,release/sil/sil_nko/source/sil_nko.kmn,any,yes,yes,yes,phone,default|shift|numeric,30,30,0,0,DEVELOPED
sil_nubian,release/sil/sil_nubian/source/sil_nubian.kmn,any,yes,yes,yes,tablet+phone,default|shift|ctrl|ctrlshift|alt|altshift|ctrlalt|ctrlaltshift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sil_pan_africa_mnemonic,release/sil/sil_pan_africa_mnemonic/source/sil_pan_africa_mnemonic.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_pan_africa_positional,release/sil/sil_pan_africa_positional/source/sil_pan_africa_positional.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_philippines,release/sil/sil_philippines/source/sil_philippines.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_sahu,release/sil/sil_sahu/source/sil_sahu.kmn,any,yes,yes,yes,tablet,default|shift|numeric,21,21,0,0,DEVELOPED
sil_senegal_bqj_azerty,release/sil/sil_senegal_bqj_azerty/source/sil_senegal_bqj_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol|caps|othercaps,27,27,0,0,DEVELOPED
sil_senegal_bsc_azerty,release/sil/sil_senegal_bsc_azerty/source/sil_senegal_bsc_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|caps|others-caps,43,43,0,0,DEVELOPED
sil_senegal_cou_azerty,release/sil/sil_senegal_cou_azerty/source/sil_senegal_cou_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol,30,30,0,0,DEVELOPED
sil_senegal_cou_qwerty,release/sil/sil_senegal_cou_qwerty/source/sil_senegal_cou_qwerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol|caps|othercaps,37,37,0,0,DEVELOPED
sil_senegal_csk_azerty,release/sil/sil_senegal_csk_azerty/source/sil_senegal_csk_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol|othercaps|caps,34,34,0,0,DEVELOPED
sil_senegal_dyo_azerty,release/sil/sil_senegal_dyo_azerty/source/sil_senegal_dyo_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol,19,19,0,0,DEVELOPED
sil_senegal_gsl_azerty,release/sil/sil_senegal_gsl_azerty/source/sil_senegal_gsl_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol,19,19,0,0,DEVELOPED
sil_senegal_knf_azerty,release/sil/sil_senegal_knf_azerty/source/sil_senegal_knf_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol|caps|othercaps,22,22,0,0,DEVELOPED
sil_senegal_krx_azerty,release/sil/sil_senegal_krx_azerty/source/sil_senegal_krx_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others,23,23,0,0,DEVELOPED
sil_senegal_krx_qwerty,release/sil/sil_senegal_krx_qwerty/source/sil_senegal_krx_qwerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol|caps|othercaps,18,18,0,0,DEVELOPED
sil_senegal_ndv_azerty,release/sil/sil_senegal_ndv_azerty/source/sil_senegal_ndv_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol,26,26,0,0,DEVELOPED
sil_senegal_sav_azerty,release/sil/sil_senegal_sav_azerty/source/sil_senegal_sav_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others|symbol,22,22,0,0,DEVELOPED
sil_senegal_snf_azerty,release/sil/sil_senegal_snf_azerty/source/sil_senegal_snf_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others,34,34,0,0,DEVELOPED
sil_senegal_srr_azerty,release/sil/sil_senegal_srr_azerty/source/sil_senegal_srr_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others,28,28,0,0,DEVELOPED
sil_senegal_wo_azerty,release/sil/sil_senegal_wo_azerty/source/sil_senegal_wo_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|other|others,27,27,0,0,DEVELOPED
sil_sgaw_karen,release/sil/sil_sgaw_karen/source/sil_sgaw_karen.kmn,any,yes,yes,yes,phone,default|shift|numeric,3,3,0,0,DEVELOPED
sil_shan,release/sil/sil_shan/source/sil_shan.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_taang,release/sil/sil_taang/source/sil_taang.kmn,any,yes,yes,yes,phone,default|shift|numeric,17,17,6,0,DEVELOPED
sil_tagdal,release/sil/sil_tagdal/source/sil_tagdal.kmn,any,yes,yes,yes,phone,default|shift|numeric|rightalt,59,59,0,0,DEVELOPED
sil_tai_dam,release/sil/sil_tai_dam/source/sil_tai_dam.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_tai_dam_lao,release/sil/sil_tai_dam_lao/source/sil_tai_dam_lao.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_tai_dam_latin,release/sil/sil_tai_dam_latin/source/sil_tai_dam_latin.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_tai_dam_typewriter,release/sil/sil_tai_dam_typewriter/source/sil_tai_dam_typewriter.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_tanguat,release/sil/sil_tanguat/source/sil_tanguat.kmn,any,yes,yes,yes,phone,default|shift|numeric,4,4,0,0,DEVELOPED
sil_tawallammat,release/sil/sil_tawallammat/source/sil_tawallammat.kmn,any,yes,yes,yes,tablet+phone,default|shift|ctrl|numeric,29,29,0,0,DEVELOPED
sil_tchad,release/sil/sil_tchad/source/sil_tchad.kmn,any,yes,yes,yes,phone,default|shift|numeric|accents,134,93,0,0,DEVELOPED
sil_tchad_faux_azerty,release/sil/sil_tchad_faux_azerty/source/sil_tchad_faux_azerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|accents,135,94,0,0,DEVELOPED
sil_tchad_qwerty,release/sil/sil_tchad_qwerty/source/sil_tchad_qwerty.kmn,any,yes,yes,yes,phone,default|shift|numeric|accents,135,94,0,0,DEVELOPED
sil_temiar,release/sil/sil_temiar/source/sil_temiar.kmn,any,yes,yes,yes,phone,default|shift|numeric,20,6,0,0,DEVELOPED
sil_tepehuan,release/sil/sil_tepehuan/source/sil_tepehuan.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_torwali,release/sil/sil_torwali/source/sil_torwali.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sil_tunisian,release/sil/sil_tunisian/source/sil_tunisian.kmn,any,yes,yes,yes,tablet,default|shift|rightalt,0,0,0,0,DEFAULT_SCAFFOLD
sil_uganda_tanzania,release/sil/sil_uganda_tanzania/source/sil_uganda_tanzania.kmn,any,yes,yes,yes,phone,default|shift|numeric,46,46,0,0,DEVELOPED
sil_vai,release/sil/sil_vai/source/sil_vai.kmn,desktop,no,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_wayuu,release/sil/sil_wayuu/source/sil_wayuu.kmn,any,yes,yes,yes,phone,default|shift|numeric,16,2,0,0,DEVELOPED
sil_ygp_plrd,release/sil/sil_ygp_plrd/source/sil_ygp_plrd.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_yi,release/sil/sil_yi/source/sil_yi.kmn,any,yes,yes,yes,tablet,default|NC|b|p|bb|nb|hm|m|f|v|d|t|dd|nd|hn|n|hl|l|g|k|gg|mg|hx|ng|h|w|z|c|zz|nz|s|ss|zh|ch|rr|nr|sh|r|j|q|jj|nj|ny|x|y|numeric|radicals,57,57,0,23,DEVELOPED
sil_yna_plrd,release/sil/sil_yna_plrd/source/sil_yna_plrd.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_yoruba8,release/sil/sil_yoruba8/source/sil_yoruba8.kmn,desktop,no,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_yoruba_bar,release/sil/sil_yoruba_bar/source/sil_yoruba_bar.kmn,any,yes,yes,yes,tablet,default|shift|numeric,98,68,0,0,DEVELOPED
sil_yoruba_dot,release/sil/sil_yoruba_dot/source/sil_yoruba_dot.kmn,any,yes,yes,yes,tablet,default|shift|numeric,98,68,0,0,DEVELOPED
sil_yupik_cyrillic,release/sil/sil_yupik_cyrillic/source/sil_yupik_cyrillic.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_yupik_cyrillic_ru,release/sil/sil_yupik_cyrillic_ru/source/sil_yupik_cyrillic_ru.kmn,any,yes,yes,yes,phone,default|shift|numeric,46,46,0,0,DEVELOPED
sil_ywq_plrd,release/sil/sil_ywq_plrd/source/sil_ywq_plrd.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
sil_zaiwa,release/sil/sil_zaiwa/source/sil_zaiwa.kmn,desktop web,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
tagbanwa_inscript,release/t/tagbanwa_inscript/source/tagbanwa_inscript.kmn,any,yes,yes,yes,phone,default|numeric,7,7,0,0,DEVELOPED
tai_tham_my,release/t/tai_tham_my/source/tai_tham_my.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
taichow,release/t/taichow/source/taichow.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies|caps,140,98,0,0,DEVELOPED
taigi_sdwxv,release/t/taigi_sdwxv/source/taigi_sdwxv.kmn,any,yes,yes,yes,tablet,default|shift|numeric,15,5,0,0,DEVELOPED
taigi_telex,release/t/taigi_telex/source/taigi_telex.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies|caps,230,197,0,0,DEVELOPED
taigi_viet_telex,release/t/taigi_viet_telex/source/taigi_viet_telex.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies|caps,198,165,0,0,DEVELOPED
tainua,release/t/tainua/source/tainua.kmn,any,yes,yes,yes,tablet+phone,default|shift|ctrl|ctrlshift|alt|altshift|ctrlalt|ctrlaltshift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
taiwan_austronesian,release/t/taiwan_austronesian/source/taiwan_austronesian.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies|caps,52,52,0,0,DEVELOPED
takri,release/t/takri/source/takri.kmn,any,yes,yes,yes,phone,default|shift|numeric,41,41,0,0,DEVELOPED
takri_inscript,release/t/takri_inscript/source/takri_inscript.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
tawallammat_latin,release/t/tawallammat_latin/source/tawallammat_latin.kmn,any,yes,yes,yes,tablet,default|shift|numeric,92,50,0,0,DEVELOPED
tay_latn,release/t/tay_latn/source/tay_latn.kmn,any,yes,yes,yes,tablet,default|shift,124,94,0,0,DEVELOPED
tem_kdh,release/t/tem_kdh/source/tem_kdh.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbol,0,0,0,0,DEFAULT_SCAFFOLD
teochew,release/t/teochew/source/teochew.kmn,any,yes,yes,yes,tablet,default|shift|numeric,36,14,0,0,DEVELOPED
tfnalgonquin,release/t/tfnalgonquin/source/tfnalgonquin.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
thai_kedmanee_mattix,release/t/thai_kedmanee_mattix/source/thai_kedmanee_mattix.kmn,any,yes,yes,yes,tablet,default|shift|numeric,10,10,0,0,DEVELOPED
thamizha_anjal_paangu,release/t/thamizha_anjal_paangu/source/thamizha_anjal_paangu.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
thamizha_bamini,release/t/thamizha_bamini/source/thamizha_bamini.kmn,any,yes,yes,yes,tablet,default|shift,1,1,0,0,DEVELOPED
thamizha_new_typewriter,release/t/thamizha_new_typewriter/source/thamizha_new_typewriter.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
thamizha_tamil99_ext,release/t/thamizha_tamil99_ext/source/thamizha_tamil99_ext.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
tibetan_direct_input,release/t/tibetan_direct_input/source/tibetan_direct_input.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
tibetan_ewts,release/t/tibetan_ewts/source/tibetan_ewts.kmn,any,yes,yes,yes,tablet,default|shift|alt,0,0,0,0,DEFAULT_SCAFFOLD
tirhuta,release/t/tirhuta/source/tirhuta.kmn,any,yes,yes,yes,tablet+phone,default|shift|ctrl|shift-ctrl|alt|shift-alt|ctrl-alt|shift-ctrl-alt|numeric,0,0,0,0,DEFAULT_SCAFFOLD
tlahuica,release/t/tlahuica/source/tlahuica.kmn,any,yes,yes,yes,phone,default|shift|numeric|mathsymbols,75,61,0,0,DEVELOPED
todhri,release/t/todhri/source/todhri.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
tohono_oodham,release/t/tohono_oodham/source/tohono_oodham.kmn,iphone ipad androidphone androidtablet mobile tablet,yes,yes,yes,tablet+phone,default|shift|numeric,34,34,0,0,DEVELOPED
triqui_itunyoso,release/t/triqui_itunyoso/source/triqui_itunyoso.kmn,mobile,yes,yes,yes,phone,default|shift-qwerty|numeric|qwerty|shift|caps|caps-qwerty|config|numeric-gboard,288,226,17,12,DEVELOPED
tuareg_tifinagh,release/t/tuareg_tifinagh/source/tuareg_tifinagh.kmn,any,yes,yes,yes,tablet+phone,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
turkmen_cyrl,release/t/turkmen_cyrl/source/turkmen_cyrl.kmn,any,yes,yes,yes,tablet,default|shift|numeric,16,16,0,0,DEVELOPED
txo_toto,release/t/txo_toto/source/txo_toto.kmn,any,yes,yes,yes,phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
udi_keyboard,release/u/udi_keyboard/source/udi_keyboard.kmn,any,yes,yes,yes,tablet,default|shift|numeric,44,38,0,0,DEVELOPED
ugaritic,release/u/ugaritic/source/ugaritic.kmn,any,yes,yes,yes,phone,default|numeric,0,0,0,0,DEFAULT_SCAFFOLD
ukwuani,release/u/ukwuani/source/ukwuani.kmn,any,yes,yes,yes,tablet,default|shift|numeric,11,11,0,0,DEVELOPED
uma_graphic,release/u/uma_graphic/source/uma_graphic.kmn,any,yes,yes,yes,tablet,default|shift|numeric,16,6,0,0,DEVELOPED
uma_phonetic,release/u/uma_phonetic/source/uma_phonetic.kmn,any,yes,yes,yes,tablet,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
urdu_dvorak,release/u/urdu_dvorak/source/urdu_dvorak.kmn,any,yes,yes,yes,phone,default|shift|numbers|symbols,101,101,10,0,DEVELOPED
urdu_phonetic,release/u/urdu_phonetic/source/urdu_phonetic.kmn,any,yes,yes,yes,tablet,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
urdu_phonetic_crulp,release/u/urdu_phonetic_crulp/source/urdu_phonetic_crulp.kmn,any,yes,yes,yes,tablet,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
venetia_et_histria,release/v/venetia_et_histria/source/venetia_et_histria.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
vietnam,release/v/vietnam/source/vietnam.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies|caps,249,198,0,0,DEVELOPED
header,release/v/vietnamese_telex/extras/vn_kmn_compiler/keyboard/vn_telex/raw/header.kmn,any,yes,yes,no,,,0,0,0,0,DESKTOP_ONLY
vietnamese_telex,release/v/vietnamese_telex/source/vietnamese_telex.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbol,14,7,0,0,DEVELOPED
header,release/v/vietnamese_telex_legacy/extras/vn_kmn_compiler/vn_telex/raw/header.kmn,any,yes,yes,no,,,0,0,0,0,DESKTOP_ONLY
header,release/v/vietnamese_telex_legacy/extras/vn_kmn_compiler/vn_telex_legacy/raw/header.kmn,any,yes,yes,no,,,0,0,0,0,DESKTOP_ONLY
vietnamese_telex_legacy,release/v/vietnamese_telex_legacy/source/vietnamese_telex_legacy.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbol,14,7,0,0,DEVELOPED
header,release/v/vietnamese_vni/extras/vn_kmn_compiler/keyboard/vn_vni/raw/header.kmn,any,yes,yes,no,,,0,0,0,0,DESKTOP_ONLY
vietnamese_vni,release/v/vietnamese_vni/source/vietnamese_vni.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbol,14,7,0,0,DEVELOPED
vithkuqi,release/v/vithkuqi/source/vithkuqi.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
vm_tamil_modular,release/v/vm_tamil_modular/source/vm_tamil_modular.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
vm_tamil_typewriter,release/v/vm_tamil_typewriter/source/vm_tamil_typewriter.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
wakhi,release/w/wakhi/source/wakhi.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric|symbol,14,14,0,0,DEVELOPED
wakhi_anglicized,release/w/wakhi_anglicized/source/wakhi_anglicized.kmn,any,yes,yes,yes,phone,default|shift|numeric,20,20,0,0,DEVELOPED
wali,release/w/wali/source/wali.kmn,any,yes,yes,yes,phone,default|shift|numeric,62,39,0,0,DEVELOPED
warang_citi,release/w/warang_citi/source/warang_citi.kmn,any,yes,yes,yes,phone,default|wara-shift|wara-numeric|wara-lock,4,4,0,0,DEVELOPED
