keyboard,path,targets,touch_target,layoutfile,touch_file,platforms,layers,nondefault_longpress,longpress_beyond_template,flick,multitap,verdict
old_permic,release/o/old_permic/source/old_permic.kmn,any,yes,yes,yes,phone,default|numeric,22,22,0,0,DEVELOPED
old_persian,release/o/old_persian/source/old_persian.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
old_sogdian,release/o/old_sogdian/source/old_sogdian.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
old_turkic_udw21_qwerty,release/o/old_turkic_udw21_qwerty/source/old_turkic_udw21_qwerty.kmn,any,yes,yes,yes,tablet,default,0,0,0,0,DEFAULT_SCAFFOLD
old_uyghur,release/o/old_uyghur/source/old_uyghur.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
optitrans_devanagari_sanskrit_pre_vedic,release/o/optitrans_devanagari_sanskrit_pre_vedic/source/optitrans_devanagari_sanskrit_pre_vedic.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
orma,release/o/orma/source/orma.kmn,any mobile,yes,yes,yes,phone+desktop,default|shift|numeric,55,45,0,0,DEVELOPED
osage_nation,release/o/osage_nation/source/osage_nation.kmn,any,yes,yes,yes,phone,default|shift|numeric,22,22,0,0,DEVELOPED
osage_nation_new,release/o/osage_nation_new/source/osage_nation_new.kmn,any,yes,yes,yes,phone,default|numeric|shift,1,1,0,0,DEVELOPED
otoe_missouria,release/o/otoe_missouria/source/otoe_missouria.kmn,any,yes,yes,yes,phone,default|shift|numerals|rightalt,0,0,0,0,DEFAULT_SCAFFOLD
pa_oh,release/p/pa_oh/source/pa_oh.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
pahawh_hmong_basic,release/p/pahawh_hmong_basic/source/pahawh_hmong_basic.kmn,any,yes,yes,yes,phone,default|shift|numeric,13,13,0,0,DEVELOPED
pak_urdu_phonetic,release/p/pak_urdu_phonetic/source/pak_urdu_phonetic.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
palmyrene,release/p/palmyrene/source/palmyrene.kmn,any,yes,yes,yes,phone,default|numeric,10,10,0,0,DEVELOPED
pan_kachin,release/p/pan_kachin/source/pan_kachin.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
pashai,release/p/pashai/source/pashai.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
pau_cin_hau,release/p/pau_cin_hau/source/pau_cin_hau.kmn,any,yes,yes,yes,phone,default|shift|numeric,1,1,0,0,DEVELOPED
persian_phonetic,release/p/persian_phonetic/source/persian_phonetic.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,27,27,0,0,DEVELOPED
phaistos_disc,release/p/phaistos_disc/source/phaistos_disc.kmn,any,yes,yes,yes,tablet,default,0,0,0,0,DEFAULT_SCAFFOLD
phoenician,release/p/phoenician/source/phoenician.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
phonetic_farsi,release/p/phonetic_farsi/source/phonetic_farsi.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
pid_piaroa,release/p/pid_piaroa/source/pid_piaroa.kmn,desktop,no,no,no,,,0,0,0,0,DESKTOP_ONLY
pinyin_typer,release/p/pinyin_typer/source/pinyin_typer.kmn,any,yes,yes,yes,tablet,default|shift|numeric,50,30,0,0,DEVELOPED
poorna_malayalam_extended_inscript,release/p/poorna_malayalam_extended_inscript/source/poorna_malayalam_extended_inscript.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift|caps,0,0,0,0,DEFAULT_SCAFFOLD
poorna_malayalam_typewriter,release/p/poorna_malayalam_typewriter/source/poorna_malayalam_typewriter.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift|caps,0,0,0,0,DEFAULT_SCAFFOLD
postmodern_english_uk_dualstroke,release/p/postmodern_english_uk_dualstroke/source/postmodern_english_uk_dualstroke.kmn,any,yes,yes,yes,tablet,default|shift|numeric|numPad|emoji,17,17,0,0,DEVELOPED
postmodern_english_uk_natural,release/p/postmodern_english_uk_natural/source/postmodern_english_uk_natural.kmn,any,yes,yes,yes,tablet,default|shift|numeric|numPad|emoji,17,17,0,0,DEVELOPED
postmodern_english_us_dualstroke,release/p/postmodern_english_us_dualstroke/source/postmodern_english_us_dualstroke.kmn,any,yes,yes,yes,tablet,default|shift|numeric|numPad|emoji,17,17,0,0,DEVELOPED
postmodern_english_us_natural,release/p/postmodern_english_us_natural/source/postmodern_english_us_natural.kmn,any,yes,yes,yes,tablet,default|shift|numeric|numPad|emoji,17,17,0,0,DEVELOPED
programmer_dvorak,release/p/programmer_dvorak/source/programmer_dvorak.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
psalter_pahlavi_phonetic,release/p/psalter_pahlavi_phonetic/source/psalter_pahlavi_phonetic.kmn,any,yes,yes,yes,tablet,default|shift,10,10,0,0,DEVELOPED
pt_azerty,release/p/pt_azerty/source/pt_azerty.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
pt_international,release/p/pt_international/source/pt_international.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
pt_pro,release/p/pt_pro/source/pt_pro.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
pukapuka,release/p/pukapuka/source/pukapuka.kmn,any,yes,yes,yes,tablet,default|shift|numeric,84,84,0,0,DEVELOPED
qom,release/q/qom/source/qom.kmn,any,yes,yes,yes,phone,default|shift|numeric|symbol,72,13,0,0,DEVELOPED
quinault,release/q/quinault/source/quinault.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
qwerty_farang,release/q/qwerty_farang/source/qwerty_farang.kmn,any,yes,yes,yes,tablet,default|numeric,82,82,0,0,DEVELOPED
rawang,release/r/rawang/source/rawang.kmn,any,yes,yes,yes,tablet,default|shift|numeric|caps,133,103,0,0,DEVELOPED
rejang,release/r/rejang/source/rejang.kmn,any,yes,yes,yes,tablet,numeric|default,0,0,0,0,DEFAULT_SCAFFOLD
remington_gail,release/r/remington_gail/source/remington_gail.kmn,any,yes,yes,yes,tablet,default|shift,75,75,0,0,DEVELOPED
rohingya_arab,release/r/rohingya_arab/source/rohingya_arab.kmn,any,yes,yes,yes,tablet,default|shift,18,18,0,0,DEVELOPED
romanian_popak,release/r/romanian_popak/source/romanian_popak.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
russian_mnemonic_r,release/r/russian_mnemonic_r/source/russian_mnemonic_r.kmn,any,yes,yes,yes,phone,default|numeric|numeric2|shift|capslock,352,352,0,0,DEVELOPED
rac_aer,release/rac/rac_aer/source/rac_aer.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_arabic,release/rac/rac_arabic/source/rac_arabic.kmn,any,yes,yes,yes,tablet,default|shift|ctrl,0,0,0,0,DEFAULT_SCAFFOLD
rac_balti,release/rac/rac_balti/source/rac_balti.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_brahui,release/rac/rac_brahui/source/rac_brahui.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
rac_brahui_latin,release/rac/rac_brahui_latin/source/rac_brahui_latin.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt,0,0,0,0,DEFAULT_SCAFFOLD
rac_burushaski,release/rac/rac_burushaski/source/rac_burushaski.kmn,any,yes,yes,yes,tablet,default|shift|ctrl,0,0,0,0,DEFAULT_SCAFFOLD
rac_dameli,release/rac/rac_dameli/source/rac_dameli.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_dhatki,release/rac/rac_dhatki/source/rac_dhatki.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt|symbols,6,6,0,0,DEVELOPED
rac_dogri,release/rac/rac_dogri/source/rac_dogri.kmn,any,yes,yes,yes,phone,default|shift|numeric,11,11,0,0,DEVELOPED
rac_gawar_bati,release/rac/rac_gawar_bati/source/rac_gawar_bati.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbols,6,6,0,0,DEVELOPED
rac_gawri,release/rac/rac_gawri/source/rac_gawri.kmn,any,yes,yes,yes,tablet,default|shift|numeric,37,37,0,0,DEVELOPED
rac_hazaragi,release/rac/rac_hazaragi/source/rac_hazaragi.kmn,any,yes,yes,yes,tablet,default|shift|symbol,5,5,0,0,DEVELOPED
rac_hindko,release/rac/rac_hindko/source/rac_hindko.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_indus_kohistani,release/rac/rac_indus_kohistani/source/rac_indus_kohistani.kmn,any,yes,yes,yes,tablet,default|shift|symbol,28,28,0,0,DEVELOPED
rac_kalasha,release/rac/rac_kalasha/source/rac_kalasha.kmn,any,yes,yes,yes,tablet,default|shift|ctrlalt,0,0,0,0,DEFAULT_SCAFFOLD
rac_kashmir_shina,release/rac/rac_kashmir_shina/source/rac_kashmir_shina.kmn,any,yes,yes,yes,phone,default|shift|numeric,24,24,0,0,DEVELOPED
rac_kashmiri,release/rac/rac_kashmiri/source/rac_kashmiri.kmn,any,yes,yes,yes,phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
rac_khowar,release/rac/rac_khowar/source/rac_khowar.kmn,any,yes,yes,yes,phone,default|shift|numeric,31,31,0,0,DEVELOPED
rac_marwari,release/rac/rac_marwari/source/rac_marwari.kmn,any,yes,yes,yes,tablet,default|shift|symbol,2,2,0,0,DEVELOPED
rac_munji,release/rac/rac_munji/source/rac_munji.kmn,any,yes,yes,yes,phone,default|shift|numeric,12,12,0,0,DEVELOPED
rac_oadki,release/rac/rac_oadki/source/rac_oadki.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt,0,0,0,0,DEFAULT_SCAFFOLD
rac_ormuri,release/rac/rac_ormuri/source/rac_ormuri.kmn,any,yes,yes,yes,phone,default|shift|symbol,34,34,0,0,DEVELOPED
rac_pahari,release/rac/rac_pahari/source/rac_pahari.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
rac_palula,release/rac/rac_palula/source/rac_palula.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_parkari_koli,release/rac/rac_parkari_koli/source/rac_parkari_koli.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt,0,0,0,0,DEFAULT_SCAFFOLD
rac_pashai,release/rac/rac_pashai/source/rac_pashai.kmn,any,yes,yes,yes,phone,default|shift|numeric|symbols,22,22,0,0,DEVELOPED
rac_pashto,release/rac/rac_pashto/source/rac_pashto.kmn,any,yes,yes,yes,tablet,default|shift|numeric,33,33,0,0,DEVELOPED
rac_saraiki,release/rac/rac_saraiki/source/rac_saraiki.kmn,any,yes,yes,yes,tablet,default|shift|symbol,27,27,0,0,DEVELOPED
rac_shina,release/rac/rac_shina/source/rac_shina.kmn,any,yes,yes,yes,tablet,default|shift|symbol,27,27,0,0,DEVELOPED
rac_sindhi,release/rac/rac_sindhi/source/rac_sindhi.kmn,any,yes,yes,yes,tablet,default|shift|ctrl-alt,0,0,0,0,DEFAULT_SCAFFOLD
rac_torwali,release/rac/rac_torwali/source/rac_torwali.kmn,any,yes,yes,yes,phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
rac_urdu,release/rac/rac_urdu/source/rac_urdu.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_ushojo,release/rac/rac_ushojo/source/rac_ushojo.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
rac_uyghur,release/rac/rac_uyghur/source/rac_uyghur.kmn,any,yes,yes,yes,tablet,default|shift|numeric,9,9,0,0,DEVELOPED
rac_wadiyara,release/rac/rac_wadiyara/source/rac_wadiyara.kmn,any,yes,yes,yes,tablet,default|shift|numeric,6,6,0,0,DEVELOPED
rac_wakhi,release/rac/rac_wakhi/source/rac_wakhi.kmn,any,yes,yes,yes,tablet,default|shift|symbol,12,12,0,0,DEVELOPED
rac_western_punjabi,release/rac/rac_western_punjabi/source/rac_western_punjabi.kmn,any,yes,yes,yes,phone,default|shift|numeric,37,37,0,0,DEVELOPED
rac_yidgha,release/rac/rac_yidgha/source/rac_yidgha.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
sabdalipi_assamese,release/s/sabdalipi_assamese/source/sabdalipi_assamese.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sahaptin_umatilla,release/s/sahaptin_umatilla/source/sahaptin_umatilla.kmn,any,yes,yes,yes,tablet,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sahaptin_yakima,release/s/sahaptin_yakima/source/sahaptin_yakima.kmn,any,yes,yes,yes,phone,default|shift|numeric,34,34,0,0,DEVELOPED
samaritan,release/s/samaritan/source/samaritan.kmn,any,yes,yes,yes,phone,default|numeric|vowels|punct,1,1,0,0,DEVELOPED
sanjha_punjabi,release/s/sanjha_punjabi/source/sanjha_punjabi.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
saraiki,release/s/saraiki/source/saraiki.kmn,any,yes,yes,yes,tablet,default|leftctrl-leftalt|shift,3,3,0,0,DEVELOPED
saurashtra_inscript,release/s/saurashtra_inscript/source/saurashtra_inscript.kmn,any,yes,yes,yes,phone,default|shift|numeric,20,20,0,0,DEVELOPED
sgaw_karen,release/s/sgaw_karen/source/sgaw_karen.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
shahmukhi_phonetic,release/s/shahmukhi_phonetic/source/shahmukhi_phonetic.kmn,any,yes,yes,yes,tablet,default|shift|rightalt,0,0,0,0,DEFAULT_SCAFFOLD
shan,release/s/shan/source/shan.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,70,70,0,0,DEVELOPED
shan_thailayout,release/s/shan_thailayout/source/shan_thailayout.kmn,any,yes,yes,yes,tablet,default|shift|alt,0,0,0,0,DEFAULT_SCAFFOLD
sharada_inscript,release/s/sharada_inscript/source/sharada_inscript.kmn,any,yes,yes,yes,phone,default|shift|numeric,37,37,0,0,DEVELOPED
siddham_inscript,release/s/siddham_inscript/source/siddham_inscript.kmn,any,yes,yes,yes,phone,default|shift|numeric|rightalt,16,16,0,0,DEVELOPED
sisaali,release/s/sisaali/source/sisaali.kmn,any,yes,yes,yes,tablet,default|shift|rightalt|shift-rightalt,0,0,0,0,DEFAULT_SCAFFOLD
slaviature,release/s/slaviature/source/slaviature.kmn,any,yes,yes,yes,tablet,default|shift|alt|diacritics,38,34,0,0,DEVELOPED
slc_saliba,release/s/slc_saliba/source/slc_saliba.kmn,desktop,no,no,no,,,0,0,0,0,DESKTOP_ONLY
slp1_deva,release/s/slp1_deva/source/slp1_deva.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
slp1_roman,release/s/slp1_roman/source/slp1_roman.kmn,any,yes,yes,yes,tablet,default|shift,2,2,0,0,DEVELOPED
sogdian_phonetic,release/s/sogdian_phonetic/source/sogdian_phonetic.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
soqotri_arabic,release/s/soqotri_arabic/source/soqotri_arabic.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
sorani_behdini_arab_qwerty,release/s/sorani_behdini_arab_qwerty/source/sorani_behdini_arab_qwerty.kmn,any,yes,yes,yes,tablet,default|shift,30,30,0,0,DEVELOPED
