mising,release/m/mising/source/mising.kmn,any,yes,yes,yes,phone,caps|default|numeric|shift,26,DESIGNED
mitterhofer,release/m/mitterhofer/source/mitterhofer.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
modi_inscript,release/m/modi_inscript/source/modi_inscript.kmn,any,yes,yes,yes,phone,default|numeric|shift,4,DESIGNED
modi_kagapa_phonetic,release/m/modi_kagapa_phonetic/source/modi_kagapa_phonetic.kmn,any,yes,yes,yes,tablet,default|rightalt|rightalt-shift|shift,4,DESIGNED
mon_anonta,release/m/mon_anonta/source/mon_anonta.kmn,any,yes,yes,yes,phone,default|numeric|shift|symbol,4,DESIGNED
mon_k_nemin,release/m/mon_k_nemin/source/mon_k_nemin.kmn,any,yes,yes,yes,phone,default|numeric|shift|symbol,44,DESIGNED
mon_phonetic,release/m/mon_phonetic/source/mon_phonetic.kmn,any,yes,yes,yes,phone,default|numeric|shift|symbol,4,DESIGNED
mongolian_cyrillic_qwerty,release/m/mongolian_cyrillic_qwerty/source/mongolian_cyrillic_qwerty.kmn,any,yes,yes,yes,tablet,default|shift|symbol,0,DESIGNED
mozhi_malayalam,release/m/mozhi_malayalam/source/mozhi_malayalam.kmn,web desktop,yes,no,no,,,0,DESKTOP_ONLY
mro_phonetic,release/m/mro_phonetic/source/mro_phonetic.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,DESIGNED
multani_inscript,release/m/multani_inscript/source/multani_inscript.kmn,any,yes,yes,yes,phone,default|numeric|shift,4,DESIGNED
multi_pak_phonetic,release/m/multi_pak_phonetic/source/multi_pak_phonetic.kmn,web desktop,yes,no,no,,,0,DESKTOP_ONLY
myancode_san,release/m/myancode_san/source/myancode_san.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,DESIGNED
nabataean_inscript,release/n/nabataean_inscript/source/nabataean_inscript.kmn,any,yes,yes,yes,phone,default|numeric,3,DESIGNED
nag_mundari,release/n/nag_mundari/source/nag_mundari.kmn,any,yes,yes,yes,phone,default|numeric,3,DESIGNED
nailangs,release/n/nailangs/source/nailangs.kmn,any,yes,yes,yes,tablet,default|numeric|shift|symbol,30,DESIGNED
nandinagari_inscript,release/n/nandinagari_inscript/source/nandinagari_inscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nepali_romanized,release/n/nepali_romanized/source/nepali_romanized.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift|symbol,25,DESIGNED
nepali_traditional,release/n/nepali_traditional/source/nepali_traditional.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift|symbol,49,DESIGNED
